NODE_ID,ENTITY_TITLE,OP_CODE,ALIAS_OR_ROLE,JURISDICTION,TOKEN_SHAPE,EXTRA_METADATA_LEGAL,
4,Asset Management,,,,,,
6,Realty Solutions Euro Notes,,Exchange-traded Notes,(Vienna SE),Blue Solid,,
8,Issuer,,ETN Issuer,(Ireland),Orange Solid,,
9,Alternatives Access Funds ELTIF ICAV,,Ireland ICAV,(Ireland),Yellow Ellipse,,
10,Alternative Investment Fund Manager,,AIFM,(Ireland),Orange Solid,,
11,Depositary,,Depositary,(Ireland),Orange Solid,,
12,Fund Administrator,,Administrator,(Ireland),Orange Solid,,
13,Auditor,,Auditor,(Ireland),Orange Solid,,
14,Transfer Agent,,Transfer Agent,(Ireland),Orange Solid,,
16,Woodfine Capital Projects Inc.,WCP-CA-01-HLD,Parent Company,(Canada),Standard Green,,
17,Woodfine Professional Centres Limited Partnership,PRO-CA-01-AST,Direct-Hold Solution,(Canada),Yellow Ellipse,CAD$250 million GFV / Presently Exists,
24,Sales Agreement,,Broker/Dealer,(Qualified Jurisdictions),Grey Dashed,,
27,Woodfine Advisors Inc.,ADV-CA-01-OPR,Advisor,(Canada),Standard Green,,
28,Woodfine Management Corp.,MGT-US-01-OPR,Developer,(United States),Standard Green,,
29,Benetti Holdings Inc.,BEN-CA-01-AST,Woodfine SPV,(Canada),Standard Green,,
30,WCP Titleco • Inc.,TCO-CA-01-AST,Real Property,(Canada),Grey Solid,,
31,Woodfine Buildings,,Qualified Investments,(Varies by Entity),Grey Solid (Short),,
32,Woodfine Professional Centres 2 Limited Partnership,PRO-US-02-AST,Direct-Hold Solution,(United States),Yellow Ellipse,USD$500 million GFV / Yet to be formed,
33,Woodfine Professional Centres 3 SOCIMI,PRO-ES-03-AST,Direct-Hold Solution,(Spain),Yellow Ellipse,EUR€250 million GFV / Yet to be formed,
34,Woodfine Professional Centres 4 FIBRA,PRO-MX-04-AST,Direct-Hold Solution,(Mexico),Yellow Ellipse,MXN$5,000 million GFV / Yet to be formed
35,Investment Units,,,(Residents of Canada Only),Tall Blue,Mass Affluent / Accredited Investors,
37,Certificados Bursátiles Fiduciarios Inmobiliarios (CBFIs),,,(Residents of Mexico Only),Tall Blue,Inscrita (CNBV) / Basic / Sophisticated / Qualified Investor,
38,WCP Titleco • Sociedad de Responsabilidad Limitada (S.RL),TCO-MX-04-AST,Real Property,(Mexico),Dark Grey Solid,,
39,Trustee Bank,PRO-MX-04-ADM,Trustee,(Mexico),Orange Solid,,
40,Deuda Privada Hipotecaria,,,(Global),Tall Orange,Exchange-Traded / 1.2 ICR / 100% Debt / Mass Affluent,
41,Benetti Holdings 4 Sociedad de Responsabilidad Limitada (S.RL),BEN-MX-04-AST,Woodfine SPV,(Mexico),Standard Green,,
42,Woodfine Professional Centres 4 Sociedad Anónima (S.A.),PRO-MX-04-ADM,Administrator,(Mexico),Standard Green,,
43,12345 Holdings 1 Limited Partnership,,SPV – Limited Partner,(Canada),Blue Dashed,,
44,12345 Holdings 1 Inc.,,SPV – General Partner,(Canada),Blue Solid,,
45,SPV Manager,,Manager,(Mexico),Orange Solid,,
